EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_F1	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
1	04:50:56	0	1.0000	3.0051517486572266	0.9571	0.9571	0.9571	3.033060073852539	0.9551	0.9551	0.9551	3.033060073852539	0.9551	0.9551	0.9551
2	04:52:14	1	1.0000	5.985243320465088	0.8943	0.8943	0.8943	5.970527648925781	0.8904	0.8904	0.8904	5.970527648925781	0.8904	0.8904	0.8904
3	04:53:31	2	1.0000	3.6811649799346924	0.9441	0.9441	0.9441	3.6352903842926025	0.9443	0.9443	0.9443	3.6352903842926025	0.9443	0.9443	0.9443
4	04:54:46	0	1.0000	2.896641969680786	0.9591	0.9591	0.9591	3.045884847640991	0.9566	0.9566	0.9566	3.045884847640991	0.9566	0.9566	0.9566
5	04:56:00	1	1.0000	4.157018184661865	0.9475	0.9475	0.9475	4.184690475463867	0.9447	0.9447	0.9447	4.184690475463867	0.9447	0.9447	0.9447
6	04:57:16	0	1.0000	2.6406946182250977	0.9605	0.9605	0.9605	3.1490001678466797	0.9579	0.9579	0.9579	3.1490001678466797	0.9579	0.9579	0.9579
7	04:58:32	1	1.0000	3.181563377380371	0.9533	0.9533	0.9533	3.7060911655426025	0.9477	0.9477	0.9477	3.7060911655426025	0.9477	0.9477	0.9477
8	04:59:45	2	1.0000	4.080672740936279	0.9415	0.9415	0.9415	4.0701584815979	0.9407	0.9407	0.9407	4.0701584815979	0.9407	0.9407	0.9407
9	05:01:06	0	1.0000	2.591709613800049	0.9632	0.9632	0.9632	2.878782272338867	0.9593	0.9593	0.9593	2.878782272338867	0.9593	0.9593	0.9593
10	05:02:25	1	1.0000	3.3258216381073	0.9562	0.9562	0.9562	3.5350804328918457	0.9515	0.9515	0.9515	3.5350804328918457	0.9515	0.9515	0.9515
11	05:03:38	2	1.0000	2.8189027309417725	0.9547	0.9547	0.9547	3.119356155395508	0.9494	0.9494	0.9494	3.119356155395508	0.9494	0.9494	0.9494
12	05:04:52	3	1.0000	3.322338581085205	0.9523	0.9523	0.9523	3.3676016330718994	0.9514	0.9514	0.9514	3.3676016330718994	0.9514	0.9514	0.9514
13	05:06:08	0	0.5000	2.116760492324829	0.9674	0.9674	0.9674	2.5001986026763916	0.9625	0.9625	0.9625	2.5001986026763916	0.9625	0.9625	0.9625
14	05:07:26	1	0.5000	2.1568257808685303	0.9629	0.9629	0.9629	2.5134778022766113	0.9582	0.9582	0.9582	2.5134778022766113	0.9582	0.9582	0.9582
15	05:08:40	0	0.5000	1.9342068433761597	0.9672	0.9672	0.9672	2.3284289836883545	0.9635	0.9635	0.9635	2.3284289836883545	0.9635	0.9635	0.9635
16	05:09:57	1	0.5000	1.9244040250778198	0.9676	0.9676	0.9676	2.353254556655884	0.9621	0.9621	0.9621	2.353254556655884	0.9621	0.9621	0.9621
17	05:11:14	2	0.5000	1.9941847324371338	0.9655	0.9655	0.9655	2.3594858646392822	0.9609	0.9609	0.9609	2.3594858646392822	0.9609	0.9609	0.9609
18	05:12:29	3	0.5000	2.3495755195617676	0.96	0.96	0.96	2.616401433944702	0.957	0.957	0.957	2.616401433944702	0.957	0.957	0.957
19	05:13:43	0	0.2500	1.7286163568496704	0.9693	0.9693	0.9693	2.0928475856781006	0.9637	0.9637	0.9637	2.0928475856781006	0.9637	0.9637	0.9637
20	05:14:57	1	0.2500	1.75640070438385	0.9681	0.9681	0.9681	2.1579995155334473	0.9621	0.9621	0.9621	2.1579995155334473	0.9621	0.9621	0.9621
21	05:16:14	2	0.2500	1.7436710596084595	0.9688	0.9688	0.9688	2.129380226135254	0.9631	0.9631	0.9631	2.129380226135254	0.9631	0.9631	0.9631
22	05:17:29	3	0.2500	1.7371902465820312	0.9684	0.9684	0.9684	2.118527412414551	0.9633	0.9633	0.9633	2.118527412414551	0.9633	0.9633	0.9633
23	05:18:44	0	0.1250	1.6889221668243408	0.9692	0.9692	0.9692	2.03642201423645	0.9644	0.9644	0.9644	2.03642201423645	0.9644	0.9644	0.9644
